model,backend,task,status,metric_name,metric_value,infer_ms_mean,infer_ms_p95,peak_rss_mb,energy_j,error
yolo11n,fp32,presence-coco,ok,presence-coco,0.8583333333333333,50.42435834184289,52.250831574201584,4135.984375,0.945828,
rt-detr,fp32,presence-coco,ok,presence-coco,0.9333333333333333,566.6258409231281,571.4750836254098,4146.6328125,10.649092,
yolo-world,fp32,presence-coco,ok,presence-coco,0.875,176.04155698791146,176.56717395875603,4282.76953125,3.290418,
smolvlm-256m,fp32,presence-coco,ok,presence-coco,0.7916666666666666,21141.245426028036,21150.034667132422,6240.80859375,323.775126,
florence2-base,fp32,presence-coco,ok,presence-coco,0.0,2909.6136337223775,2940.2309807250276,5019.26953125,41.714548,
internvl2_5-2b,fp32,presence-coco,ok,presence-coco,0.9,10032.157659647055,10058.406075660605,11930.87890625,146.303408,
moondream2,fp32,presence-coco,ok,presence-coco,0.95,232138.25111067854,232221.47755987244,5855.22265625,3370.227931,
